,Carry On,People We Meet on Vacation,Fangirl,Margot's Got Money Troubles,Rosaline Palmer Takes the Cake,"Red, White, and Royal Blue",Boyfriend Material,Eleanor and Park,The Charm Offensive,Beach Read,Anna and the French Kiss,Attachments
user 1,5,,4,,5,,,4,4,,,3
user 2,,2,,3,,1,3,,,,,2
user 3,3,3,,4,,,4,4,,3,4,
user 4,4,,5,,4,3,,,,4,5,
user 5,,1,,,,2,,,2,2,3,3
user 6,,,,,,,,,,,,
user 7,,,,,,1,,,,1,4,
user 8,,3,,,3,,3,,3,,3,2
user 9,1,,2,3,,2,,3,2,,,
user 10,,1,3,,2,,2,,,1,,1
user 11,4,,,,,4,,3,,,3,
user 12,,,,,,,,4,,3,,
user 13,5,3,,5,,,5,,,4,,
user 14,,,,,5,3,,5,,,5,4
user 15,,,4,,,2,4,2,,3,,
user 16,,,,,,,,,,,,
user 17,,,,,,,,,,,,
